Dataset,SW,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
SYN,5,1,0,SVM,0.8290757083139805,0.8331065759637188,0.8702855128657032,0.8331065759637188,0.8253125914304165,0.6607544845543021,0.8331065759637188,15.250006914138794,7.33454442024231
SYN,5,1,1,SVM,0.8290757083139805,0.8331065759637188,0.8702855128657032,0.8331065759637188,0.8253125914304165,0.6607544845543021,0.8331065759637188,19.618395805358887,25.223119735717773
SYN,5,1,2,SVM,0.8290757083139805,0.8331065759637188,0.8702855128657032,0.8331065759637188,0.8253125914304165,0.6607544845543021,0.8331065759637188,31.61137843132019,11.743680953979492
SYN,5,1,3,SVM,0.8290757083139805,0.8331065759637188,0.8702855128657032,0.8331065759637188,0.8253125914304165,0.6607544845543021,0.8331065759637188,15.511411905288696,7.4076268672943115
SYN,5,1,4,SVM,0.8290757083139805,0.8331065759637188,0.8702855128657032,0.8331065759637188,0.8253125914304165,0.6607544845543021,0.8331065759637188,15.529250860214233,7.1878321170806885
SYN,5,1,5,SVM,0.8290757083139805,0.8331065759637188,0.8702855128657032,0.8331065759637188,0.8253125914304165,0.6607544845543021,0.8331065759637188,16.327964544296265,7.423542261123657
SYN,5,1,6,SVM,0.8290757083139805,0.8331065759637188,0.8702855128657032,0.8331065759637188,0.8253125914304165,0.6607544845543021,0.8331065759637188,14.753228664398193,7.364063739776611
SYN,5,1,7,SVM,0.8290757083139805,0.8331065759637188,0.8702855128657032,0.8331065759637188,0.8253125914304165,0.6607544845543021,0.8331065759637188,15.662184715270996,7.418107032775879
SYN,5,1,8,SVM,0.8290757083139805,0.8331065759637188,0.8702855128657032,0.8331065759637188,0.8253125914304165,0.6607544845543021,0.8331065759637188,14.878226280212402,7.104146718978882
SYN,5,1,9,SVM,0.8290757083139805,0.8331065759637188,0.8702855128657032,0.8331065759637188,0.8253125914304165,0.6607544845543021,0.8331065759637188,14.140228986740112,7.220178127288818
